household_id,city,occupants,income_bracket,home_size_sqft,has_solar_panel,daily_kwh,thermostat_setting,avg_temp,month
62f4c11e-8d50-4913-9edf-47d80eaa9fc9,Jonesshire,4,Low,1079,0,41.73,72.0,27.1,3
8039fa78-9e37-483a-be65-022dde8ac253,Jonathanberg,5,High,2807,1,27.85,78.0,34.8,2
54553fe6-5b2b-46c0-a45b-bf9f9d18b870,Lake Jonathan,1,Medium,2999,1,27.76,69.0,18.7,5
29df9dc8-6f4e-4672-b1a0-b363e0c57667,Kevinview,4,Medium,2482,0,40.391999999999996,75.0,29.9,8
b848cb37-059b-4783-9fb0-300f608d5c23,Stephaniemouth,2,Medium,2374,0,48.34,78.0,34.1,4
306400fc-cdd5-4775-8c3f-93d7e938b0b1,Port Tammy,5,Low,1500,1,45.31,65.0,24.9,12
88d52918-0b12-479d-8b9d-d3fc0d1f9a6f,West Tara,4,Low,2579,0,41.652,61.0,26.5,7
f9d854c9-9caf-439a-b215-11dc067539f0,Jessicaberg,1,Medium,1818,0,27.35,75.0,22.4,9
b79defb5-3581-4846-8675-95df2166119b,Jennamouth,1,Low,2053,0,45.67,79.0,23.8,11
2778cdce-1cef-42a9-bd6b-0f544b4ece23,Nicholasbury,3,Medium,1464,0,38.89,,27.6,4
e10347a0-5dc1-49fe-8ae6-31aaa65f8910,South Evanbury,3,Medium,2111,0,32.4,60.0,32.4,5
48408634-6c8e-4d34-a00d-5dc8d2fa38ce,Shawnchester,2,Medium,2218,0,23.07,63.0,34.0,9
ec9069c8-7ac3-46ae-9431-bc6cfb648f72,Mendezfurt,4,Medium,1856,0,42.98,64.0,25.9,2
8298466b-a7ff-4504-85f6-b534e4f981e1,West Lindsayfurt,4,Medium,2738,0,28.71,69.0,30.6,2
abe9066d-a5f7-4cd1-946a-6d27aa6dc829,Lake Brucechester,3,High,2186,1,23.16,77.0,29.7,10
8eaf6f63-f5bf-4660-ac13-a8d1fb55452a,Lake Julie,4,Medium,1934,1,37.85,68.0,19.9,2
9e926d42-e9c5-4b37-b5b5-8530a86b63c7,West Teresachester,4,Low,1944,0,41.03,66.0,24.2,1
f05608fc-5cdc-4b34-8a97-b94aa6396afc,East Davidfort,1,Low,2863,0,43.51199999999999,,28.7,6
32900f34-7eb9-4361-bc52-b6ccd33257ff,Shanechester,3,Low,1538,0,39.57,74.0,17.6,11
77a9883f-526c-4c75-a5c3-3199f77996c2,Lake Jotown,5,Low,2346,0,22.25,76.0,32.7,1
7a6e64ad-8438-4bf4-8504-ee22b913e3b5,North Paul,3,Low,2945,1,40.46,64.0,23.1,5
4d60f6bd-db09-4d45-8726-d02d40b33f8a,Sherribury,5,Low,2963,1,25.81,70.0,24.1,11
1447b623-801a-4260-aaf8-92848094f442,Rodriguezland,1,Medium,2294,0,31.18,65.0,32.4,10
15202617-2db7-4cf9-ace4-425093f028d6,West Edwardfort,2,High,2262,0,20.14,64.0,18.4,4
df0c1e27-54b2-41f5-a6b5-20c625214882,Thomasfort,4,Low,1148,1,41.74,72.0,15.7,1
5f7e2742-95a6-424a-8ffa-bc76c44a0b84,Irwinstad,1,Medium,1031,1,43.25,65.0,20.7,11
7521310c-16cf-4b9a-b54d-8e18ab2e2351,West Arthurshire,4,Medium,2796,0,50.268,74.0,18.0,8
342e5de9-a32e-4b8d-bebc-6030ebba228d,Port Erica,2,Low,2356,0,23.09,72.0,34.7,5
c8d907e9-a967-40ac-b0f4-950f4d5b8f21,Hawkinsside,2,High,2770,0,25.284,72.0,26.3,6
21837813-ece9-4c5b-abba-813550c4ad94,North Sarahberg,1,Medium,2456,1,34.044,69.0,26.3,7
474d023e-74f7-4c3b-b1ff-ab93b6d88ab9,Karenhaven,2,Low,2742,0,37.836,61.0,30.9,8
e3003773-0e51-42a8-a7e2-916adc915e20,Hollymouth,5,Medium,1344,1,37.78,61.0,20.2,12
29cc024f-85f8-4192-a861-db364b004377,North Johnbury,2,Low,1191,0,24.98,68.0,25.5,3
2a0dc22e-cf9b-4ccb-ad76-9f94f93978a9,Julieport,4,Medium,1993,1,42.083999999999996,79.0,17.8,6
7ecdc7b2-48a2-444e-8e05-425ab6ccf1ee,Lake Melissastad,4,Low,2924,0,45.36,69.0,16.9,9
5292dd67-bad0-467a-80d2-b9beb3275b8e,Port Lauren,4,High,2788,1,27.16,70.0,23.8,11
3543b519-beac-492d-8091-2612701f2505,Port Tyler,4,Medium,1096,0,43.22,67.0,33.3,4
86e75954-533c-4ef1-be9a-606e1595dffc,East Christine,5,Medium,1886,0,42.53,77.0,23.8,12
7ddffec4-5830-4daa-a2ae-bbecaf06f54f,Haleystad,3,Low,1069,0,37.632,61.0,24.0,8
5a96823f-ecb0-4ba3-8463-cfcb2a1837bb,East Jason,1,Medium,1898,0,44.65,63.0,32.3,3
2028fa66-c388-4a65-b7da-6806790bb388,North Jamie,4,Medium,2509,0,22.12,77.0,20.7,1
229fad50-f2c2-4d40-870c-0b1e69554f84,Atkinsfort,2,Medium,1309,0,21.64,75.0,24.8,2
b1981107-e247-4f5b-bf14-c6fd8e6d3948,Acevedoton,4,Medium,1916,0,29.64,61.0,18.3,12
42e9a951-c501-4e8f-99f4-ef1b165bb64f,South Anita,2,Medium,1876,0,26.21,66.0,31.9,5
69c1501a-2b99-4f55-b900-ec3d2c945dfa,Johntown,2,High,1295,1,34.596,63.0,15.7,7
e6dbd049-4c73-437e-8dd8-fd784b328a0f,West Jessica,4,Medium,893,0,29.82,64.0,23.3,6
d5bda66d-a12d-45ad-b6e8-7ec4415e4fe1,Port Johntown,5,High,1424,1,16.7,77.0,20.5,9
d28444a2-b7a5-45f5-ba13-d0d0166b3235,Zunigaborough,2,High,1028,1,29.61,69.0,20.1,4
35404372-2776-4f89-87ec-2265e94c45c8,Robertsview,2,Medium,2214,0,60.48,68.0,19.9,7
95a501f5-8066-4f56-8178-27c1c20e2fc9,Bateston,4,Low,1520,0,45.14,75.0,22.4,4
6c19fb99-7b05-45eb-97f4-e74b2b0687b7,Meganfort,2,Medium,1779,0,48.84,78.0,33.0,3
b3021ead-e73e-420f-b3dd-fc8545e61544,Silvaport,2,High,1066,1,22.032,76.0,29.2,6
ebdb761a-69e4-47f2-81a4-9ce029f30da7,Lunabury,4,Low,1803,0,35.3,63.0,32.8,11
e8e0b228-49cd-43fa-a9bd-12fbdf8eeece,South Jennifer,4,Medium,1080,0,27.0,60.0,18.9,11
dc8622f0-30d6-45fc-8a29-26b0a8288083,North Dennis,1,High,1761,1,18.28,65.0,32.0,5
9f68ea1d-e51f-4748-bada-43ca08fa06e2,Ronaldburgh,5,Low,1906,0,43.42,75.0,23.6,11
a24ee529-d8fc-4367-8bb3-bb3ef9f0adfa,Amyshire,5,Medium,2009,0,34.96,72.0,34.6,10
2f0e9563-aedf-4b8f-b154-6aa9ecf66ed3,Singletonton,2,Low,2171,0,29.79,63.0,26.9,11
9a116ac3-9aa7-4269-a589-9924001f7411,Perezbury,5,Low,1222,1,42.24,79.0,24.7,8
cecf6cdc-a852-4992-b21e-53736c65e486,Marshallport,2,Medium,2805,0,22.07,68.0,33.5,10
33d18a41-0398-4ea7-b6fb-9384315b4b63,East Samantha,1,Low,1253,1,41.49,63.0,22.6,2
09d51879-746b-4da5-a3e5-6a3d42d6030a,New Jonathan,4,Low,1306,1,33.3,64.0,30.0,4
4ab1dca9-cc26-4338-b217-b24ea7c9e67f,South Angelahaven,4,High,1965,0,21.084,63.0,24.5,8
12565246-08c3-43d1-9043-3cafadf06b50,North Tabithaton,4,Low,1115,1,46.3,70.0,29.7,12
195ad698-8721-49a9-b69b-c9293fae4786,North Jeromeborough,5,High,2499,1,21.25,76.0,20.5,1
40662118-247a-435c-a208-1c367e1740df,Shortfurt,1,High,1563,1,15.86,66.0,23.1,10
a9ad6153-3423-4231-a14f-e659701b936f,Jacobville,5,Low,2055,1,50.33,,21.9,3
ea27a54a-7fc2-457d-b3c6-c8828e3b7b54,South Donna,5,Low,1697,1,46.524,76.0,32.4,7
1e9ae887-7530-4972-909e-1642859637de,South Robert,1,Medium,1752,0,44.34,78.0,33.6,2
d03a0afc-6771-4d0e-9b58-bb179595acde,Angelatown,1,Medium,2395,0,23.76,72.0,29.7,7
b209e130-1784-4e03-922b-b00d3e6e41b3,East Isaiah,1,Low,2869,1,60.791999999999994,63.0,31.4,6
b9d52190-c2a1-48ed-ac6c-9c0d66216cad,Garciaberg,1,Medium,1183,0,39.348,68.0,22.1,7
d295d9fa-6b51-49fa-8040-76d8791cb7cb,Michellemouth,4,Low,902,0,57.3,70.0,18.0,8
0dc989e7-e63c-474b-8571-ba26bd252ae2,Baileyfurt,3,High,1699,0,28.991999999999997,72.0,28.7,6
5009f220-d8ea-4c29-9844-3cf968b20b7e,Patrickport,3,Low,909,0,54.647999999999996,75.0,27.7,6
f6a95905-cc22-484e-b8d5-1d79176c5131,Michelleville,1,Low,2295,0,32.18,69.0,20.3,11
5e56d905-244c-46a2-9c6e-b662a4267782,Jenniferfurt,3,Low,1469,1,36.42,63.0,33.2,7
7f25806e-3d25-469f-89a1-3b7503318fe1,Walkerland,3,High,1183,1,19.57,62.0,22.2,2
2a32531a-8276-45d1-a96f-46e38be18b2a,Sarahtown,1,Medium,2820,1,40.49,66.0,31.3,3
c8295531-2cfe-42bc-ad76-8eaa53a7aabe,North Shelia,3,High,1561,1,22.21,71.0,17.6,10
e4431940-6b25-4b5f-a221-15c3504b7c33,Martinezhaven,5,Low,1685,1,37.49,77.0,20.7,1
3f46d781-0680-4eda-a670-f6a117f97a21,Lake Keithside,2,Low,2926,1,56.58,64.0,27.3,8
cefbf178-9993-42c9-8501-1a40eddaf26b,Lanceland,2,Low,2035,0,42.06,76.0,19.8,3
76e988f9-edb3-4697-8efb-ab32155c37ae,Jaredborough,1,Medium,1814,0,22.44,64.0,34.1,3
e923b7fe-0a15-412d-8e64-656a525a3626,Nguyenberg,4,Medium,2268,1,44.2,79.0,26.0,11
5d80fe79-1ace-44b4-bcfa-a3aba94b7337,South John,1,Medium,2996,0,20.08,,29.6,1
a871b581-952b-4a7e-b9e3-8f15e0f520f9,East Patriciashire,4,Low,809,0,54.227999999999994,75.0,26.2,6
d2328b16-1427-468a-8b1e-2007fba0b52a,East Jasmineland,2,High,2365,1,16.02,75.0,23.1,3
0b307dac-03f5-477d-9e3e-bf42635b8eea,Sextonberg,1,Low,1591,0,38.2,66.0,31.4,11
fe45faf1-2a17-498c-85d1-8ec0791aab94,Lake Ariana,5,High,2767,0,24.85,79.0,15.5,4
d1154ee5-2e72-4f57-93dd-de3c40c4f880,Millerview,3,Low,1878,0,38.74,72.0,23.5,1
95ab19f7-2ec5-482e-ab17-8647df8a5769,Port Saraside,4,Medium,2462,1,40.36,64.0,32.6,12
0d5d1ff7-a22a-4ea0-86b8-31c95fafb8f9,West Ashley,3,Low,1543,0,47.02,78.0,16.7,2
affbe52d-7c63-456c-87d1-d9f69bb699e9,New Keith,3,Medium,1250,0,31.17,79.0,19.1,1
c1cd3413-5264-45e4-9e54-7da17ed82979,Reynoldstown,1,Medium,1916,0,43.524,75.0,34.2,6
d9ccdee9-2181-418d-8fc1-b7577e37353a,Ramosland,3,Medium,2154,1,24.56,69.0,34.2,9
97bbd038-4004-4851-90be-da5663249e7e,Cardenasmouth,5,Medium,2531,0,33.28,71.0,22.7,11
7abb0e9d-1ec4-4256-9fc8-7eaea359e06f,Hicksfort,3,Medium,1986,1,24.2,65.0,30.0,9
430c7555-a340-4814-8ef0-e4867a3e624a,Lake Arthurchester,1,Medium,1707,1,45.864,78.0,27.5,7
c4f21c34-191e-4571-863e-afe7dde04c78,Smithmouth,5,High,2932,1,16.24,61.0,24.9,10
bd2758f8-3f3c-483c-8db1-cbfb06b9cf15,Port Patriciashire,2,Low,2548,1,45.7,67.0,31.3,10
39e70b2d-9cbc-42a9-b6c7-9a2edeb86b2a,Johnston,3,Medium,1914,0,36.431999999999995,79.0,28.0,6
8d027bb8-8bf3-4dcf-9204-24a6c1b0a6f7,New Aaronland,1,Medium,2307,0,28.93,68.0,16.8,1
515a3cba-4fd5-4dc4-8bf1-b233d4374397,Espinozaborough,2,Low,2076,0,34.85,62.0,31.8,3
a32f7099-f7e7-42ed-b35b-d16225771dc5,Bakerhaven,2,Medium,2613,0,30.384,66.0,20.5,7
1c35cc1e-cc2e-4712-95d2-68bbde5858ab,New Mikeborough,4,Low,2478,0,26.39,62.0,27.7,5
f779957d-0f1d-4ca5-b7a7-eff90d17e222,Wellschester,5,Low,2067,0,42.7,70.0,30.5,12
f9eb4327-be2c-4f49-9ac1-428428a98a40,East Tammyville,3,Low,1863,1,34.33,71.0,33.0,9
03c00607-5d4a-40ab-bb4a-e52a956c0b9e,West Gabriel,1,Low,2433,0,31.187999999999995,72.0,33.5,7
37cd55ca-26b6-44fa-a890-bfd54bd3ffda,Rhondamouth,4,Medium,1856,0,20.65,63.0,33.5,3
d709cdbf-7ddc-4a71-b50c-3dc3c2613c3b,East Douglas,5,Medium,1249,0,32.8,61.0,28.1,10
9c88bdb4-805c-41a0-9e07-5ef2259438b2,Port Wesley,4,High,2672,1,24.59,65.0,27.5,1
819f2a9a-4cdd-459c-b61c-076996962b40,Colemanhaven,5,Medium,1424,0,29.93,71.0,15.3,12
77c01ddc-44c6-4e4f-84d7-f649daccb032,Davidchester,5,Low,2769,0,34.116,69.0,16.7,7
0c3e8a83-2cb4-40f5-b96a-cf73d3f0efc5,Evansstad,3,High,1684,1,27.71,79.0,22.9,11
945c5857-3857-4598-91b0-978836b53b91,Lake Peterstad,5,High,1118,0,23.184,63.0,30.9,8
045ec3eb-05b8-469f-a2d4-e96c3213074c,Biancachester,4,Medium,2195,0,33.13,76.0,26.8,3
baf5bfdb-c55c-457f-93f0-23b3929a2805,West Brianna,5,Medium,2174,0,27.81,71.0,19.7,11
29b684ab-1734-4715-bc58-04a111817e47,Roweborough,3,High,2146,1,22.871999999999996,78.0,17.5,8
276deda1-7c86-4e45-82bc-0a88385d4477,New Brentbury,3,Medium,1287,1,43.88,74.0,24.4,11
522e2c3c-5a2c-4094-88f8-af1828512608,Lake Walter,4,High,1250,1,27.684,61.0,33.3,6
ed76f60c-c8b2-4773-afe0-40e15c3200be,Dalebury,2,Low,1152,1,35.67,66.0,16.1,10
50f5e307-963f-4a96-bf0d-3101be71d6f2,Kristinmouth,2,Low,1939,0,43.93,78.0,24.3,11
5058d46a-760a-43fa-bb9d-ae024f0530cd,Mendezfort,5,Medium,2740,0,25.74,67.0,16.2,10
0398871a-e445-4cfc-aff3-c8fc547b870d,Andersonstad,1,Medium,2932,0,47.31,77.0,20.0,1
c1c384ae-0620-49e5-aca4-9dddefb51bd5,North Susanville,5,High,1047,1,21.53,73.0,34.1,1
71767ea9-f196-4cfb-8518-ff56ed7af582,East Don,4,High,1367,0,18.04,67.0,17.1,12
99a97e41-f0e6-46f8-baa2-1a6f06d04310,Martinhaven,4,Low,1483,0,49.79,65.0,16.0,11
e10c30b5-1573-438e-a37d-8263b45e9dce,Port Jeffrey,4,Low,1443,0,23.96,62.0,16.7,1
fe488156-3dfe-41d5-b95b-af0a48282bde,South Stephanie,4,High,1278,1,25.52,71.0,28.8,3
f2eb3a82-c340-4325-a98e-24ca4fc39640,West Nicole,4,Medium,1167,0,44.2,60.0,15.2,2
83376f6d-dab3-4f07-99e8-18aa7a527c4c,South Cynthiachester,3,Low,2644,1,36.2,76.0,22.9,12
b932d02f-de45-4dca-b495-53a92250263f,Lake Nicole,2,Medium,1156,0,20.5,64.0,34.1,12
e7d5d746-1b40-40ec-aba5-d189313a8893,Erictown,4,Medium,2168,0,34.33,71.0,16.4,10
84aaddf3-ae09-4a49-a54b-9e5a8afec70c,Brownberg,1,Medium,2266,0,24.02,77.0,33.6,1
b9881087-c843-41ea-993b-2a3c5c37d303,Michellechester,1,Medium,2642,0,44.532,72.0,17.4,6
cb90cd5d-e32f-4e66-a036-b51b7c929bb8,Navarroton,1,Low,1859,0,40.69,68.0,17.6,4
ffaf3bfc-afa4-454f-8bf5-d01ebcc444a6,Jonesfort,1,High,2444,1,19.06,62.0,27.1,2
0eb7f5ea-521a-4432-87b2-dc56fc3e7ba6,Victorfort,3,Medium,1627,0,37.68,63.0,19.9,5
f55e58f5-ed91-4533-9a9d-cd6b6dd6ac94,Dixonberg,1,Medium,1969,0,24.11,69.0,15.1,2
6de99410-213f-4e0a-b443-69b8570d6dc0,Campbellmouth,4,Low,2611,0,23.41,69.0,30.0,1
20fb7252-bd4f-4825-a8bf-b147abe82781,Millerside,5,Medium,2724,1,45.22,61.0,22.4,3
135d1bd1-53f5-4e6c-93dd-c046d7b11f45,Lyonschester,1,Low,2993,0,22.13,77.0,33.2,10
375d249b-b7bd-47f3-9432-88948b712ce1,Lake Debra,3,Low,967,0,29.25,62.0,20.6,10
76100b69-5637-4199-8145-4169f5244042,Martinland,3,Medium,886,0,49.39,70.0,28.4,12
b8cc771c-44a5-40ec-9628-616c6871735b,Martinfurt,1,Low,953,0,33.39,64.0,21.5,3
b1d21108-ee67-4073-8865-f878eb2c4279,Barbarastad,5,Medium,1114,0,47.988,74.0,18.0,8
b5bfbb2e-be02-448d-9abf-45a8232e496e,Williamsside,1,Low,2654,0,31.284,76.0,34.5,7
999dc04d-2c4d-4e1e-a534-764bb2c0ec1e,East Leslie,3,Medium,1522,1,28.05,61.0,26.8,11
ac36e762-44a5-45c8-9069-e10060a7d218,Deleonborough,2,Low,2781,0,34.7,64.0,31.8,3
6b7aa31d-264e-4b5d-8e9f-999e580a398d,Pamelaport,4,Low,2653,0,38.3,76.0,20.0,3
1ff1de03-7ff9-4ac4-ad68-32b79363f8cb,West Joel,3,Low,2529,0,59.903999999999996,70.0,22.9,7
9b0afceb-fcc5-43c0-88a1-734fdc455da0,Sandersfort,1,High,1928,0,18.46,69.0,24.5,2
04f0453e-ba6f-42aa-9a55-8f7502403529,West Brittany,4,High,2823,1,33.66,78.0,27.6,7
fb4b03fc-a708-4dca-a6b0-477111b4bb7d,Halebury,1,Low,1149,0,31.59,65.0,22.9,2
514f19a2-ab20-4f23-9b1d-e3bb683e690c,Andersonville,1,Medium,1623,0,27.49,69.0,19.9,2
8d60cb5b-41da-496f-b672-a700c59016fb,Lake Christinestad,2,Medium,1237,1,27.46,70.0,18.8,3
0bc48927-dad3-44f7-b25f-94368423e70c,North Dillon,4,High,2804,1,27.779999999999998,66.0,27.0,7
bb850ad1-13ab-4807-a6d1-8cb75bfdaf2d,North Sarahmouth,4,Low,968,0,35.616,75.0,20.0,7
7761c942-87b7-4a43-80ce-919002ae37c9,Katherinemouth,2,Medium,822,0,29.7,72.0,22.9,2
713b8520-255f-4a69-91b9-406d5a49fd6c,Lake Debbie,3,Low,1080,1,49.6,70.0,15.7,2
81e21e98-f53e-4a2f-a08a-e87fd147f0c0,West Amandashire,1,Low,1203,1,38.01,62.0,20.1,3
a5a1b830-11db-46fa-988c-319ff6e73172,South Williamville,5,High,2980,1,22.32,67.0,24.7,8
6c7f325d-11e2-4444-90e6-cd436db31b90,North Adam,1,Medium,1031,0,27.96,63.0,30.9,2
d2da9d42-7f59-4722-8c8d-e0f29604765d,Kennedychester,1,Low,878,0,45.62,66.0,22.5,12
29aae38e-ead7-4f03-aaf1-1b0cc8a99d1c,New Dana,3,Low,1858,0,47.68,69.0,20.9,12
30921abf-66ee-4672-be9a-e17fd43fcdb7,Port Juan,1,Medium,1933,0,40.08,71.0,25.3,4
0ef1f737-599f-4841-bed1-21306b72f879,Craigborough,2,Medium,2144,0,38.459999999999994,70.0,16.0,6
26a5cee3-9976-49f4-a5f2-91448baa2a60,Tannerton,2,Low,2187,0,44.36,64.0,22.1,11
50b64f75-07e2-4923-98cc-2a252257781f,Walkerhaven,4,High,2439,1,26.05,64.0,17.7,5
9d2d1c4d-ef53-4873-b884-4a8994f20657,Port Amyborough,5,Low,2237,0,24.41,78.0,20.1,10
1e3fc01d-c4c3-4ed8-bb98-497915e650fa,Hubbardfort,1,Low,1346,0,44.8,74.0,22.8,3
db53c025-14f6-448e-917b-13b9c855409f,Middletonside,1,High,2529,1,30.23,66.0,16.2,10
79589ae5-c64a-4413-9d0b-ab3ba8cbaa95,Lake Alexandra,3,Low,2116,1,30.68,63.0,30.9,3
1212ee2d-eb16-4b22-88cc-7cf597d8cf1c,West Lauren,2,Low,1908,1,34.163999999999994,66.0,20.5,8
f3dd1966-a867-4b75-95fe-1f192a13a507,Terrychester,5,Medium,1708,0,36.46,66.0,19.7,4
b3fbfeb1-928d-4042-aecc-eb2a58543b43,North Jose,4,High,2024,1,22.65,69.0,21.9,3
bf8ebeeb-f818-484a-b074-43487e757e00,Wattstown,2,Low,1484,1,23.68,63.0,22.4,4
e5c3ce8b-e226-4588-885e-6ffbe2fa333a,Michaelport,4,High,2903,1,29.45,77.0,31.3,9
8e6a05ba-47af-47f7-85ce-cde934ea9a45,Brandonshire,3,Medium,2475,1,33.76,65.0,20.7,3
c73e4e5e-0be5-4f77-95c7-6525a9957ef5,Lake Scott,3,Low,2913,0,33.21,60.0,24.2,12
8bd46280-5c15-48be-b3d9-87033a0b370f,Port Karen,1,Medium,1757,0,23.13,,25.0,5
9775dff0-04cf-4786-a642-ebe00c72248d,Brownburgh,5,Low,2482,1,34.19,62.0,21.1,10
471575d3-5a16-41c9-89c0-eacda7a648bf,Amandastad,4,Medium,2732,1,42.9,66.0,30.7,9
7037b946-2437-4b40-acfa-89c558be02f1,South Heatherview,2,Medium,2404,1,27.84,61.0,27.5,12
a83d219c-9996-4f23-9137-a16f7cf171e4,South Heather,3,High,1501,1,25.92,73.0,29.4,7
620fbdf8-0950-496f-84f3-0bdceb3d3965,Lovebury,1,Low,1620,0,25.05,64.0,16.1,2
3daf08a8-0c92-4b4c-8dda-d0544136b364,Elizabethberg,1,Medium,1687,0,37.8,64.0,31.4,6
56b581b5-44de-4789-8b4e-fa0e963e6f01,Lake Tina,4,Medium,2719,1,46.48,75.0,19.8,9
5fec1d01-17b0-43d0-9b33-5a41bc31e6ed,East Kimberly,3,Low,2128,1,26.47,,16.8,12
5a3bec17-a606-4e3b-b5f8-51f16cdb0c7b,Ericfort,5,Low,1675,0,25.236,75.0,28.2,6
366dc0dd-7eae-421a-919d-3502976763dd,Port Josephborough,3,Low,965,0,36.3,68.0,19.4,3
89d99aaf-cf04-4409-aeeb-9fca3f36b524,Cassiebury,4,Medium,1973,0,37.92,67.0,23.1,5
ac8c0e73-5950-4cdb-a151-7b2fd5d9df84,East Erica,4,Medium,1356,0,31.51,61.0,29.2,5
052d363c-c403-4c47-bce7-cdcc6bcc3d3a,Lake Deborah,3,Low,1997,0,38.6,69.0,17.1,11
63890966-49b7-4fae-a513-887770553a06,Hensonfurt,4,High,1508,1,20.939999999999998,77.0,17.6,6
64044ae3-7273-4908-b3b1-ab71f3d4b9c1,Strongbury,3,High,1517,1,15.57,77.0,28.3,5
26b89d7c-0f63-4389-a8da-b08bf67d9450,South Anna,2,Medium,2403,0,25.17,78.0,24.0,1
458f632f-9f2d-4b57-aabc-b6bc9e944918,North Johnfurt,3,Low,2944,0,26.99,64.0,19.4,4
d14604c3-9463-4e2b-a991-cb9b9f54d657,Gomezshire,3,Medium,1900,0,36.779999999999994,60.0,25.3,6
71e0e89b-49e7-4680-8805-4604c5000def,West Scottstad,4,Low,2819,0,33.55,70.0,27.4,9
02aefefe-b3a2-433a-9851-bff887da2e49,Fosterview,4,Low,2060,1,23.17,70.0,23.1,12
716763b5-f372-4cf2-b078-a2a81696e035,New Cheryl,1,Medium,1090,1,23.2,62.0,18.5,1
ecf60195-f947-4ea5-9a35-3120904cf911,New Lori,1,Low,2983,0,48.384,62.0,28.0,7
c09a7ae4-284d-43c3-888b-5a4cfd343805,Richbury,2,Low,2037,0,32.31,75.0,17.4,2
a35c2c94-37e5-49d4-ad12-05673272d0dc,Jamieshire,1,Low,2917,0,25.79,79.0,28.1,2
ea643a48-176f-4c3b-a8da-568b46dea876,Port Allisonfort,3,Low,1545,0,27.34,74.0,20.4,11
56e1cbcf-0dfd-4f83-ab4b-0dfc4692a26d,Victoriashire,4,Low,1997,0,41.92,72.0,15.0,4
00296f6d-c828-41ca-ac61-d0270827a0a9,Danaton,1,High,1498,1,17.92,69.0,24.3,12
b6c19844-b854-4434-8a94-a3990a40eabd,Walkershire,1,Low,1323,1,43.199999999999996,78.0,21.2,7
9c7caf61-571f-4f6d-9bb6-ae789405027c,East Maryberg,2,Low,2645,0,30.45,69.0,19.6,11
b29f77e7-4ba4-48e4-826c-6254bb4a23b1,Lake Patriciaville,2,Low,1823,1,45.19,,25.0,9
4b026628-4d31-41a9-9bf5-a8f3c9125751,Roberthaven,3,High,2810,1,33.336,65.0,21.7,7
1ff17e73-4c75-4c4e-bca6-77657af5ba5f,Morenoberg,4,Medium,1263,1,41.16,64.0,20.9,3
549016f9-9f8f-4bd6-aa9f-67cd68fa6b3c,North Shane,2,Low,2464,1,32.66,,30.3,9
bc86d699-09be-4561-b14b-98fcb179c3a7,East Alexis,1,High,1250,1,24.67,76.0,16.7,4
2758737e-541b-4acf-9d59-7b98835562eb,Ruizbury,4,Low,2219,0,40.31,63.0,23.0,12
34b86f39-e2da-4dde-a438-1ae6d96ad23b,Stephenport,4,Low,2715,1,35.687999999999995,,19.9,6
d999c6f2-7191-44c6-b216-eaf498dcfc86,Andersonfort,1,Low,1723,0,46.49,71.0,20.7,4
ebef2771-cbe9-4942-9bbd-919ade42a1b3,Lake Samuelchester,2,Low,1115,0,49.19,,23.8,3
ee4e462b-3913-4ee1-9b68-1296447a3be3,Kevinland,1,Low,1470,1,28.46,68.0,33.5,1
dc1627c7-4d79-426a-be8e-f2f6d92b0f88,Lake Kaitlynhaven,4,Medium,1497,0,44.98,74.0,28.2,2
